id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Freestyle,Cassette Kid,hip hop,confident,0.68,96,0.70,0.85,0.12
12,Velvet Heartbreak,Mara Lune,r&b,romantic,0.50,84,0.55,0.68,0.40
13,Canyon Dust,Sawyer Wells,country,nostalgic,0.55,104,0.62,0.57,0.66
14,Neon Pulse Arena,Byte Surge,edm,energetic,0.95,128,0.72,0.90,0.03
15,Moonlit Drift,Amelie Rousseau,classical,melancholic,0.30,68,0.35,0.20,0.95
16,Island Time,Coral Groove,reggae,playful,0.60,92,0.88,0.80,0.45
17,Iron Verdict,Ashfall,metal,angry,0.97,160,0.30,0.55,0.04
18,Paper Boats,Wren and Hollow,folk,sad,0.33,76,0.28,0.44,0.90
